date,category,issue,name,price
2017-01-04,MERCHANDISE,APR168749,AOKANA FOUR RHYTHM ASUKA KURASHINA 1/8 PVC FIG (C: 1-1-2),$237.99
2017-01-04,MERCHANDISE,OCT161267,AVENGERS STEED & MRS PEEL COMIC STRIP AUDIO CD VOL 01 (C: 0-,$49.99
2017-01-04,MERCHANDISE,JUL162604,BATMAN 1966 PREM COLL BATMAN STATUE (C: 1-1-2),$150.00
2017-01-04,MERCHANDISE,JUL168729,BIOSHOCK BIG DADDY MESSENGER BAG (C: 0-1-2),$39.95
2017-01-04,MERCHANDISE,JUN168768,BOWMAN 2016 BEST BASEBALL T/C OUTER BOX (NET) (C: 1-1-1),$59.99
2017-01-04,MERCHANDISE,MAR168556,BVS ARMORED BATMAN 400% BEA (NET) (C: 1-1-2) (PP#1230),$PI
2017-01-04,MERCHANDISE,MAR168557,BVS BATMAN 1000% BEA (NET) (C: 1-1-2) (PP#1230),$PI
2017-01-04,MERCHANDISE,NOV162131,COMIC SHOP NEWS 90CT BUNDLE #1542 (NET),$PI
2017-01-04,MERCHANDISE,OCT158701,CRYSIS PROPHET 1/6 SCALE FIG (NET) (C: 0-1-2) (PP#1209),$230.00
2017-01-04,MERCHANDISE,APR168482,CT BLUE ASSASSINS CREED MOVIE AGUILAR AF CS (NET) (C: 1-1-2),$19.99
2017-01-04,MERCHANDISE,APR168483,CT BLUE ASSASSINS CREED MOVIE HIDDEN BLADE CS (NET) (C: 1-1-,$29.99
2017-01-04,MERCHANDISE,JUN168045,CT BLUE GEARS OF WAR 4 KAIT DIAZ AF CS (NET) (C: 1-1-2),$19.99
2017-01-04,MERCHANDISE,MAY168790,CT BLUE SPAWN REBIRTH AF CS (NET) (C: 1-1-2),$19.99
2017-01-04,MERCHANDISE,AUG169526,D&D MONSTER MENAGERIE MINIATURE ADVENTURER CAMP CASE INCV (C,$49.99
2017-01-04,MERCHANDISE,SEP162371,DARKWING DUCK CLASSIC ROYAL HEATHER T/S LG (C: 1-1-0),$18.99
2017-01-04,MERCHANDISE,SEP162370,DARKWING DUCK CLASSIC ROYAL HEATHER T/S MED (C: 1-1-0),$18.99
2017-01-04,MERCHANDISE,SEP162369,DARKWING DUCK CLASSIC ROYAL HEATHER T/S SM (C: 1-1-0),$18.99
2017-01-04,MERCHANDISE,SEP162372,DARKWING DUCK CLASSIC ROYAL HEATHER T/S XL (C: 1-1-0),$18.99
